condition,type,fixed,code_system,code,comorbidity_system
congeni_genetic,dx,0,icd9,758,pccc
congeni_genetic,dx,0,icd9,2594,pccc
congeni_genetic,dx,0,icd9,5533,pccc
congeni_genetic,dx,0,icd9,7373,pccc
congeni_genetic,dx,0,icd9,7560,pccc
congeni_genetic,dx,0,icd9,7561,pccc
congeni_genetic,dx,0,icd9,7562,pccc
congeni_genetic,dx,0,icd9,7563,pccc
congeni_genetic,dx,0,icd9,7564,pccc
congeni_genetic,dx,0,icd9,7565,pccc
congeni_genetic,dx,0,icd9,7566,pccc
congeni_genetic,dx,0,icd9,7567,pccc
congeni_genetic,dx,0,icd9,7597,pccc
congeni_genetic,dx,0,icd9,7598,pccc
congeni_genetic,dx,0,icd9,7599,pccc
congeni_genetic,dx,0,icd10,E343,pccc
congeni_genetic,dx,0,icd10,K449,pccc
congeni_genetic,dx,0,icd10,M410,pccc
congeni_genetic,dx,0,icd10,M412,pccc
congeni_genetic,dx,0,icd10,M418,pccc
congeni_genetic,dx,0,icd10,M419,pccc
congeni_genetic,dx,0,icd10,M965,pccc
congeni_genetic,dx,0,icd10,M4130,pccc
congeni_genetic,dx,0,icd10,M4330,pccc
congeni_genetic,dx,0,icd10,Q77,pccc
congeni_genetic,dx,0,icd10,Q81,pccc
congeni_genetic,dx,0,icd10,Q93,pccc
congeni_genetic,dx,0,icd10,Q97,pccc
congeni_genetic,dx,0,icd10,Q98,pccc
congeni_genetic,dx,0,icd10,Q722,pccc
congeni_genetic,dx,0,icd10,Q750,pccc
congeni_genetic,dx,0,icd10,Q752,pccc
congeni_genetic,dx,0,icd10,Q759,pccc
congeni_genetic,dx,0,icd10,Q760,pccc
congeni_genetic,dx,0,icd10,Q761,pccc
congeni_genetic,dx,0,icd10,Q762,pccc
congeni_genetic,dx,0,icd10,Q764,pccc
congeni_genetic,dx,0,icd10,Q765,pccc
congeni_genetic,dx,0,icd10,Q766,pccc
congeni_genetic,dx,0,icd10,Q767,pccc
congeni_genetic,dx,0,icd10,Q780,pccc
congeni_genetic,dx,0,icd10,Q781,pccc
congeni_genetic,dx,0,icd10,Q782,pccc
congeni_genetic,dx,0,icd10,Q783,pccc
congeni_genetic,dx,0,icd10,Q784,pccc
congeni_genetic,dx,0,icd10,Q788,pccc
congeni_genetic,dx,0,icd10,Q789,pccc
congeni_genetic,dx,0,icd10,Q790,pccc
congeni_genetic,dx,0,icd10,Q791,pccc
congeni_genetic,dx,0,icd10,Q792,pccc
congeni_genetic,dx,0,icd10,Q793,pccc
congeni_genetic,dx,0,icd10,Q794,pccc
congeni_genetic,dx,0,icd10,Q795,pccc
congeni_genetic,dx,0,icd10,Q799,pccc
congeni_genetic,dx,0,icd10,Q897,pccc
congeni_genetic,dx,0,icd10,Q898,pccc
congeni_genetic,dx,0,icd10,Q899,pccc
congeni_genetic,dx,0,icd10,Q909,pccc
congeni_genetic,dx,0,icd10,Q913,pccc
congeni_genetic,dx,0,icd10,Q914,pccc
congeni_genetic,dx,0,icd10,Q917,pccc
congeni_genetic,dx,0,icd10,Q928,pccc
congeni_genetic,dx,0,icd10,Q950,pccc
congeni_genetic,dx,0,icd10,Q969,pccc
congeni_genetic,dx,0,icd10,Q992,pccc
congeni_genetic,dx,0,icd10,Q998,pccc
congeni_genetic,dx,0,icd10,Q999,pccc
congeni_genetic,dx,0,icd10,Q8740,pccc
congeni_genetic,dx,0,icd10,Q8781,pccc
congeni_genetic,dx,0,icd10,Q8789,pccc
cvd,dx,0,icd9,426,pccc
cvd,dx,0,icd9,746,pccc
cvd,dx,0,icd9,4161,pccc
cvd,dx,0,icd9,4168,pccc
cvd,dx,0,icd9,4169,pccc
cvd,dx,0,icd9,4240,pccc
cvd,dx,0,icd9,4242,pccc
cvd,dx,0,icd9,4243,pccc
cvd,dx,0,icd9,4250,pccc
cvd,dx,0,icd9,4251,pccc
cvd,dx,0,icd9,4252,pccc
cvd,dx,0,icd9,4253,pccc
cvd,dx,0,icd9,4254,pccc
cvd,dx,0,icd9,4258,pccc
cvd,dx,0,icd9,4270,pccc
cvd,dx,0,icd9,4271,pccc
cvd,dx,0,icd9,4272,pccc
cvd,dx,0,icd9,4273,pccc
cvd,dx,0,icd9,4274,pccc
cvd,dx,0,icd9,4276,pccc
cvd,dx,0,icd9,4277,pccc
cvd,dx,0,icd9,4278,pccc
cvd,dx,0,icd9,4279,pccc
cvd,dx,0,icd9,4280,pccc
cvd,dx,0,icd9,4291,pccc
cvd,dx,0,icd9,4293,pccc
cvd,dx,0,icd9,7450,pccc
cvd,dx,0,icd9,7451,pccc
cvd,dx,0,icd9,7452,pccc
cvd,dx,0,icd9,7453,pccc
cvd,dx,0,icd9,7456,pccc
cvd,dx,0,icd9,7471,pccc
cvd,dx,0,icd9,7472,pccc
cvd,dx,0,icd9,7473,pccc
cvd,dx,0,icd9,7474,pccc
cvd,dx,0,icd9,9960,pccc
cvd,dx,0,icd9,9961,pccc
cvd,dx,0,icd9,42883,pccc
cvd,dx,0,icd9,43311,pccc
cvd,dx,0,icd9,74781,pccc
cvd,dx,0,icd9,74789,pccc
